Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4
ROML 50,,,,
ROML 51,,,,
ROML 52,,,,
ROML 53,,,,
ROML 54,,,,
ROML 55,,,,
ROML 56,,,,
ROML 58,,,,
ROML 60,,,,
ROML 61,,,,
ROML 62,,,,
ROML 63,,,,
ROML 71,,,,
ROML 89,,,,
ROML 194,,,,
ROML 229,,,,
ROML 280,,,,
ROML 293,,,,
ROML 295,,,,
ROML 461,,,,
ROML 462,ROML 461,,,
ROML 490,,,,
ROML 500,,,,
ROML 501,,,,
ROML 578,FREN 300,ITAL 300,PORT 310,SPAN 300
ROML 600,,,,
ROML 650,,,,
ROML 660,,,,
ROML 665,,,,
ROML 698,,,,
ROML 700,,,,
ROML 707,,,,
ROML 751,,,,
ROML 755,,,,
ROML 756,,,,
ROML 793,,,,
ROML 800,,,,
ROML 820,,,,
ROML 824,,,,
ROML 825,,,,
ROML 830,,,,
ROML 840,,,,
ROML 870,,,,
ROML 992,,,,
ROML 993,,,,
ROML 994,,,,
