Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9,Prereq_10,Prereq_11,Prereq_12,Prereq_13,Prereq_14,Prereq_15,Prereq_16,Prereq_17,Prereq_18
SOCI 53,,,,,,,,,,,,,,,,,,
SOCI 54,,,,,,,,,,,,,,,,,,
SOCI 56,,,,,,,,,,,,,,,,,,
SOCI 57,,,,,,,,,,,,,,,,,,
SOCI 58,,,,,,,,,,,,,,,,,,
SOCI 59,,,,,,,,,,,,,,,,,,
SOCI 60,,,,,,,,,,,,,,,,,,
SOCI 64,,,,,,,,,,,,,,,,,,
SOCI 66,,,,,,,,,,,,,,,,,,
SOCI 68,,,,,,,,,,,,,,,,,,
SOCI 69,,,,,,,,,,,,,,,,,,
SOCI 70,,,,,,,,,,,,,,,,,,
SOCI 71,,,,,,,,,,,,,,,,,,
SOCI 72,,,,,,,,,,,,,,,,,,
SOCI 89,,,,,,,,,,,,,,,,,,
SOCI 100,,,,,,,,,,,,,,,,,,
SOCI 101,,,,,,,,,,,,,,,,,,
SOCI 111,,,,,,,,,,,,,,,,,,
SOCI 112,,,,,,,,,,,,,,,,,,
SOCI 121,,,,,,,,,,,,,,,,,,
SOCI 122,,,,,,,,,,,,,,,,,,
SOCI 123,,,,,,,,,,,,,,,,,,
SOCI 124,,,,,,,,,,,,,,,,,,
SOCI 125,,,,,,,,,,,,,,,,,,
SOCI 126,,,,,,,,,,,,,,,,,,
SOCI 129,,,,,,,,,,,,,,,,,,
SOCI 130,,,,,,,,,,,,,,,,,,
SOCI 131,,,,,,,,,,,,,,,,,,
SOCI 133,,,,,,,,,,,,,,,,,,
SOCI 172,,,,,,,,,,,,,,,,,,
SOCI 180,,,,,,,,,,,,,,,,,,
SOCI 250,,,,,,,,,,,,,,,,,,
SOCI 251,,,,,,,,,,,,,,,,,,
SOCI 252,,,,,,,,,,,,,,,,,,
SOCI 253,SOCI 101,,,,,,,,,,,,,,,,,
SOCI 260,,,,,,,,,,,,,,,,,,
SOCI 273,,,,,,,,,,,,,,,,,,
SOCI 274,,,,,,,,,,,,,,,,,,
SOCI 277,,,,,,,,,,,,,,,,,,
SOCI 290,,,,,,,,,,,,,,,,,,
