Course Code,Prereq_1,Prereq_2,Prereq_3
SOWO 89,,,
SOWO 403,,,
SOWO 404,,,
SOWO 489,,,
SOWO 490,,,
SOWO 491,,,
SOWO 492,,,
SOWO 495,,,
SOWO 500,,,
SOWO 501,,,
SOWO 505,,,
SOWO 510,,,
SOWO 520,,,
SOWO 521,SOWO 520,,
SOWO 522,,,
SOWO 523,,,
SOWO 524,,,
SOWO 530,,,
SOWO 540,,,
SOWO 570,,,
SOWO 613I,,,
SOWO 615I,,,
SOWO 700,,,
SOWO 702,,,
SOWO 705,SOWO 500,SOWO 505,
SOWO 709,,,
SOWO 712,,,
SOWO 719,,,
SOWO 720,,,
SOWO 730,,,
SOWO 732,,,
SOWO 739,,,
SOWO 740,SOWO 540,,
SOWO 741,,,
SOWO 742,,,
SOWO 743,,,
SOWO 750,SOWO 540,,
SOWO 751,SOWO 540,,
SOWO 753,SOWO 540,,
SOWO 758,SOWO 540,,
SOWO 760,SOWO 540,SOWO 700,
SOWO 761,SOWO 540,SOWO 700,
SOWO 764,SOWO 540,,
SOWO 765,SOWO 540,,
SOWO 766,SOWO 540,,
SOWO 767,,,
SOWO 769,,,
SOWO 770,SOWO 570,,
SOWO 772,,,
SOWO 790,,,
SOWO 792,SOWO 570,,
SOWO 793,SOWO 570,,
SOWO 799,,,
SOWO 810,,,
SOWO 820,,,
SOWO 821,,,
SOWO 822,,,
SOWO 823,SOWO 522,SOWO 822,
SOWO 824,SOWO 522,SOWO 822,SOWO 823
SOWO 831,SOWO 530,,
SOWO 832,SOWO 530,,
SOWO 834,SOWO 530,,
SOWO 835,SOWO 530,,
SOWO 836,SOWO 530,,
SOWO 837,SOWO 530,,
SOWO 840,SOWO 500,SOWO 505,SOWO 540
SOWO 841,,,
SOWO 842,SOWO 500,SOWO 505,SOWO 540
SOWO 843,SOWO 500,SOWO 505,SOWO 540
SOWO 845,SOWO 500,SOWO 505,SOWO 540
SOWO 850,SOWO 540,,
SOWO 853,SOWO 540,,
SOWO 855,SOWO 540,,
SOWO 856,SOWO 540,,
SOWO 860,,,
SOWO 874,SOWO 500,SOWO 505,SOWO 570
SOWO 875,SOWO 500,SOWO 505,SOWO 570
SOWO 880,SOWO 570,,
SOWO 881,,,
SOWO 883,SOWO 570,,
SOWO 884,SOWO 570,,
SOWO 885,570 570,,
SOWO 900,,,
SOWO 910,SOWO 510,,
SOWO 911,SOWO 510,,
SOWO 912,SOWO 911,,
SOWO 913,SOWO 900,SOWO 940,
SOWO 914,SOWO 910,SOWO 911,
SOWO 915,,,
SOWO 916,,,
SOWO 917,,,
SOWO 918,,,
SOWO 919,,,
SOWO 920,,,
SOWO 921,,,
SOWO 922,,,
SOWO 923,,,
SOWO 940,SOWO 900,,
SOWO 941,,,
SOWO 994,,,
