Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5
SPAN 100,,,,,
SPAN 101,,,,,
SPAN 102,SPAN 100,SPAN 101,,,
SPAN 105,,,,,
SPAN 111,,,,,
SPAN 170,,,,,
SPAN 203,SPAN 102,SPAN 105,SPAN 111,SPAN 401,
SPAN 204,SPAN 203,,,,
SPAN 205,SPAN 203,,,,
SPAN 212,SPAN 111,,,,
SPAN 252,,,,,
SPAN 253,,,,,
SPAN 255,SPAN 204,SPAN 212,SPAN 402,,
SPAN 261,SPAN 204,,,,
SPAN 266,SPAN 204,,,,
SPAN 267,SPAN 204,SPAN 205,,,
SPAN 270,,,,,
SPAN 275,,,,,
SPAN 280,,,,,
SPAN 292,,,,,
SPAN 296,,,,,
SPAN 300,SPAN 261,SPAN 267,,,
SPAN 301,SPAN 261,SPAN 267,,,
SPAN 302,SPAN 261,SPAN 267,,,
SPAN 308,SPAN 204,,,,
SPAN 320,SPAN 261,SPAN 267,,,
SPAN 321,SPAN 261,SPAN 267,,,
SPAN 323,SPAN 261,SPAN 267,,,
SPAN 324,SPAN 261,SPAN 267,SPAN 323,,
SPAN 325,SPAN 261,SPAN 267,SPAN 320,,
SPAN 328,SPAN 261,SPAN 267,SPAN 321,,
SPAN 329,SPAN 324,SPAN 325,SPAN 328,,
SPAN 338,SPAN 261,SPAN 267,,,
SPAN 340,SPAN 261,SPAN 267,,,
SPAN 344,SPAN 261,SPAN 267,,,
SPAN 351,SPAN 261,SPAN 267,SPAN 300,SPAN 301,SPAN 302
SPAN 352,SPAN 351,,,,
SPAN 360,SPAN 300,SPAN 301,,,
SPAN 361,SPAN 261,SPAN 267,,,
SPAN 369,SPAN 261,SPAN 267,SPAN 300,,
SPAN 370,SPAN 369,,,,
SPAN 371,SPAN 301,SPAN 302,,,
SPAN 373,SPAN 301,SPAN 302,,,
SPAN 374,SPAN 301,SPAN 302,,,
SPAN 375,SPAN 261,SPAN 267,,,
SPAN 376,SPAN 300,SPAN 301,,,
SPAN 378,SPAN 360,SPAN 376,,,
SPAN 379,SPAN 301,SPAN 302,SPAN 371,SPAN 373,
SPAN 380,SPAN 371,SPAN 373,,,
SPAN 381,SPAN 371,SPAN 373,,,
SPAN 382,SPAN 371,SPAN 373,,,
SPAN 383,SPAN 371,SPAN 373,,,
SPAN 384,SPAN 371,SPAN 373,,,
SPAN 385,SPAN 371,SPAN 373,,,
SPAN 386,SPAN 371,SPAN 373,,,
SPAN 387,SPAN 301,SPAN 302,SPAN 371,SPAN 373,
SPAN 388,SPAN 301,SPAN 302,SPAN 371,SPAN 373,
SPAN 389,SPAN 301,SPAN 302,SPAN 371,SPAN 373,
SPAN 394,SPAN 338,SPAN 340,SPAN 344,SPAN 371,SPAN 373
SPAN 395,,,,,
SPAN 397,SPAN 360,SPAN 376,,,
SPAN 398,SPAN 371,SPAN 373,,,
SPAN 401,,,,,
SPAN 402,SPAN 102,SPAN 105,SPAN 111,SPAN 401,
SPAN 404,,,,,
SPAN 405,SPAN 102,SPAN 404,,,
SPAN 414,,,,,
SPAN 415,SPAN 414,,,,
SPAN 416,,,,,
SPAN 417,SPAN 416,,,,
SPAN 601,,,,,
SPAN 613,SPAN 371,SPAN 373,,,
SPAN 614,SPAN 371,SPAN 373,,,
SPAN 617,SPAN 371,SPAN 373,,,
SPAN 620,SPAN 371,SPAN 373,,,
SPAN 621,SPAN 301,SPAN 302,,,
SPAN 625,,,,,
SPAN 630,,,,,
SPAN 650,SPAN 371,SPAN 373,,,
SPAN 661,SPAN 361,,,,
SPAN 676,SPAN 376,,,,
SPAN 677,SPAN 360,,,,
SPAN 678,SPAN 360,,,,
SPAN 679,SPAN 360,,,,
SPAN 680,SPAN 360,,,,
SPAN 681,SPAN 360,,,,
SPAN 682,SPAN 360,SPAN 376,SPAN 378,,
SPAN 683,SPAN 360,,,,
SPAN 684,SPAN 360,,,,
SPAN 691H,,,,,
SPAN 692H,,,,,
SPAN 701,,,,,
SPAN 702,,,,,
SPAN 709,,,,,
SPAN 710,,,,,
SPAN 711,,,,,
SPAN 712,,,,,
SPAN 713,,,,,
SPAN 714,,,,,
SPAN 715,,,,,
SPAN 716,,,,,
SPAN 725,,,,,
SPAN 737,,,,,
SPAN 738,,,,,
SPAN 741,,,,,
SPAN 742,,,,,
SPAN 743,,,,,
SPAN 744,,,,,
SPAN 745,,,,,
SPAN 746,,,,,
SPAN 747,,,,,
SPAN 750,,,,,
SPAN 834,,,,,
SPAN 835,,,,,
SPAN 836,,,,,
SPAN 840,,,,,
SPAN 992,,,,,
SPAN 993,,,,,
SPAN 994,,,,,
