Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6
SPHG 89,,,,,,
SPHG 101,,,,,,
SPHG 190,,,,,,
SPHG 350H,,,,,,
SPHG 351,BIOL 101,,,,,
SPHG 352,SPHG 351,,,,,
SPHG 428,,,,,,
SPHG 429,,,,,,
SPHG 600,,,,,,
SPHG 690,,,,,,
SPHG 701,SPHG 711,SPHG 712,SPHG 713,SPHG 721,SPHG 722,
SPHG 702,SPHG 701,,,,,
SPHG 703,SPHG 711,SPHG 712,SPHG 713,SPHG 701,SPHG 721,SPHG 722
SPHG 705,SPHG 703,,,,,
SPHG 707,SPHG 703,,,,,
SPHG 711,,,,,,
SPHG 712,SPHG 713,,,,,
SPHG 713,SPHG 712,,,,,
SPHG 721,SPHG 711,SPHG 712,SPHG 713,,,
SPHG 722,SPHG 711,SPHG 712,SPHG 713,SPHG 721,,
SPHG 992,,,,,,
