Course Code,Prereq_1,Prereq_2,Prereq_3
SPHS 196,,,
SPHS 400,,,
SPHS 401,,,
SPHS 402,SPHS 401,,
SPHS 520,,,
SPHS 521,,,
SPHS 530,,,
SPHS 540,,,
SPHS 570,,,
SPHS 582,,,
SPHS 583,,,
SPHS 701,,,
SPHS 705,,,
SPHS 706,,,
SPHS 707,,,
SPHS 708,SPHS 715,SPHS 811,
SPHS 710,SPHS 582,,
SPHS 710L,,,
SPHS 712,,,
SPHS 712L,,,
SPHS 715,,,
SPHS 717,,,
SPHS 722,,,
SPHS 725,SPHS 582,,
SPHS 726,,,
SPHS 730,,,
SPHS 733,,,
SPHS 740,,,
SPHS 741,SPHS 570,,
SPHS 742,SPHS 570,,
SPHS 743,SPHS 530,,
SPHS 744,SPHS 540,SPHS 570,
SPHS 745,SPHS 741,,
SPHS 748,,,
SPHS 749,SPHS 540,SPHS 570,
SPHS 751,,,
SPHS 752,,,
SPHS 754,,,
SPHS 760,,,
SPHS 761,,,
SPHS 762,,,
SPHS 765,,,
SPHS 771,,,
SPHS 772,,,
SPHS 773,,,
SPHS 774,,,
SPHS 775,,,
SPHS 776,,,
SPHS 777,SPHS 776,,
SPHS 778,,,
SPHS 779,SPHS 776,SPHS 777,SPHS 778
SPHS 792,SPHS 754,,
SPHS 802,,,
SPHS 803,,,
SPHS 804,,,
SPHS 805,,,
SPHS 806,,,
SPHS 808,SPHS 712,SPHS 813,
SPHS 809,,,
SPHS 811,,,
SPHS 812,SPHS 712,SPHS 811,
SPHS 813,SPHS 712,,
SPHS 813L,SPHS 712,,
SPHS 814,SPHS 710,SPHS 715,SPHS 722
SPHS 814L,SPHS 710,SPHS 715,SPHS 722
SPHS 815,SPHS 582,,
SPHS 816,SPHS 582,,
SPHS 818,,,
SPHS 818L,SPHS 710,,
SPHS 819,SPHS 710,SPHS 871L,
SPHS 823,,,
SPHS 824,,,
SPHS 825,,,
SPHS 827,SPHS 715,SPHS 725,
SPHS 830,,,
SPHS 831,,,
SPHS 832,SPHS 833,,
SPHS 833,,,
SPHS 834,,,
SPHS 836,,,
SPHS 840,,,
SPHS 841,,,
SPHS 849,,,
SPHS 850,,,
SPHS 851,,,
SPHS 852,,,
SPHS 860,,,
SPHS 861,,,
SPHS 863,SPHS 832,SPHS 836,
SPHS 864,,,
SPHS 865,,,
SPHS 870,,,
SPHS 871,,,
SPHS 871L,,,
SPHS 880,,,
SPHS 882,,,
SPHS 888,,,
SPHS 889,,,
SPHS 896,,,
SPHS 897,,,
SPHS 898,,,
SPHS 900,,,
SPHS 901,,,
SPHS 902,,,
SPHS 966I,,,
SPHS 993,,,
SPHS 994,,,
