Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5
STOR 52,,,,,
STOR 53,,,,,
STOR 54,,,,,
STOR 55,,,,,
STOR 56,,,,,
STOR 60,,,,,
STOR 61,,,,,
STOR 62,,,,,
STOR 63,,,,,
STOR 64,,,,,
STOR 66,,,,,
STOR 72,,,,,
STOR 89,,,,,
STOR 113,MATH 110,,,,
STOR 115,,,,,
STOR 120,,,,,
STOR 151,MATH 110,,,,
STOR 155,MATH 110,,,,
STOR 190,,,,,
STOR 215,MATH 110,,,,
STOR 235,MATH 231,MATH 232,,,
STOR 290,,,,,
STOR 291,STOR 120,,,,
STOR 305,STOR 120,STOR 155,MATH 152,,
STOR 315,MATH 232,,,,
STOR 320,STOR 120,STOR 155,,,
STOR 358,BIOS 650,,,,
STOR 390,,,,,
STOR 415,MATH 347,STOR 315,,,
STOR 435,STOR 235,MATH 233,STOR 215,MATH 381,COMP 283
STOR 445,BIOS 660,STOR 435,STOR 535,,
STOR 455,STOR 120,STOR 155,,,
STOR 471,STOR 435,STOR 535,,,
STOR 472,STOR 435,STOR 535,,,
STOR 475,STOR 435,STOR 535,,,
STOR 490,,,,,
STOR 493,,,,,
STOR 496,,,,,
STOR 515,STOR 435,STOR 535,MATH 347,,
STOR 520,STOR 435,STOR 535,STOR 455,,
STOR 535,STOR 235,MATH 233,STOR 215,MATH 381,COMP 283
STOR 538,STOR 320,STOR 455,,,
STOR 555,STOR 435,STOR 535,,,
STOR 556,STOR 435,STOR 535,STOR 455,,
STOR 557,STOR 435,STOR 535,STOR 455,,
STOR 565,STOR 215,MATH 381,STOR 435,STOR 535,
STOR 566,STOR 435,STOR 535,COMP 110,COMP 116,
STOR 572,STOR 120,STOR 155,STOR 435,STOR 535,
STOR 590,,,,,
STOR 612,MATH 347,MATH 521,,,
STOR 614,STOR 612,,,,
STOR 634,,,,,
STOR 635,STOR 634,,,,
STOR 641,STOR 435,STOR 535,,,
STOR 642,STOR 641,,,,
STOR 654,,,,,
STOR 655,STOR 654,,,,
STOR 664,,,,,
STOR 665,STOR 664,,,,
STOR 672,STOR 555,STOR 641,,,
STOR 674,STOR 320,STOR 664,,,
STOR 690,,,,,
STOR 691H,,,,,
STOR 692H,,,,,
STOR 701,,,,,
STOR 702,,,,,
STOR 712,STOR 612,,,,
STOR 713,STOR 712,,,,
STOR 722,STOR 614,,,,
STOR 734,STOR 435,,,,
STOR 743,STOR 641,,,,
STOR 754,STOR 435,STOR 555,,,
STOR 755,STOR 635,STOR 655,,,
STOR 757,STOR 555,,,,
STOR 765,,,,,
STOR 767,STOR 654,STOR 655,STOR 664,STOR 665,
STOR 790,,,,,
STOR 822,STOR 712,,,,
STOR 824,STOR 712,,,,
STOR 831,STOR 634,STOR 635,,,
STOR 832,STOR 634,STOR 635,,,
STOR 834,STOR 635,STOR 654,,,
STOR 835,STOR 635,,,,
STOR 836,STOR 634,STOR 635,,,
STOR 854,STOR 635,STOR 655,,,
STOR 871,,,,,
STOR 881,,,,,
STOR 890,,,,,
STOR 891,,,,,
STOR 892,,,,,
STOR 893,,,,,
STOR 894,,,,,
STOR 910,,,,,
STOR 930,,,,,
STOR 940,STOR 655,,,,
STOR 950,,,,,
STOR 960,STOR 655,,,,
STOR 970,,,,,
STOR 992,,,,,
STOR 994,,,,,
