Course Code,Prereq_1,Prereq_2
WGST 51,,
WGST 56,,
WGST 64,,
WGST 66,,
WGST 67H,,
WGST 68,,
WGST 89,,
WGST 101,,
WGST 111,,
WGST 124,,
WGST 127,,
WGST 140,,
WGST 144,,
WGST 167,,
WGST 188,,
WGST 200,,
WGST 202,WGST 101,
WGST 211,,
WGST 215,,
WGST 217,,
WGST 220,,
WGST 222,,
WGST 224,,
WGST 225,,
WGST 230,,
WGST 231,,
WGST 232,,
WGST 233,,
WGST 237,,
WGST 240,,
WGST 241,,
WGST 242,,
WGST 244,,
WGST 248,,
WGST 249,,
WGST 253,,
WGST 254,,
WGST 259,,
WGST 260,,
WGST 263,,
WGST 264,,
WGST 265,,
WGST 266,,
WGST 270,,
WGST 271,,
WGST 272,,
WGST 275,,
WGST 277,,
WGST 278,,
WGST 280,,
WGST 281,,
WGST 285,,
WGST 290,,
WGST 302,,
WGST 313,,
WGST 315,,
WGST 325,,
WGST 329,,
WGST 330,,
WGST 336,,
WGST 337,,
WGST 340,,
WGST 345,,
WGST 350,,
WGST 352,,
WGST 353,,
WGST 354,,
WGST 355,,
WGST 356,,
WGST 360,,
WGST 361,,
WGST 362,,
WGST 363,,
WGST 365,,
WGST 368,WGST 101,
WGST 370,,
WGST 371,,
WGST 373,,
WGST 374,,
WGST 375,,
WGST 380,,
WGST 382,,
WGST 386,AAAD 101,AAAD 130
WGST 388,WGST 101,
WGST 393,WGST 101,
WGST 396,,
WGST 402,WGST 202,
WGST 405,WGST 101,WGST 111
WGST 410,WGST 101,
WGST 415,,
WGST 424,,
WGST 438,,
WGST 440,,
WGST 441,,
WGST 442,,
WGST 443,,
WGST 444,,
WGST 445,,
WGST 446,,
WGST 447,,
WGST 448,,
WGST 450,,
WGST 451,,
WGST 458,,
WGST 460,WGST 101,
WGST 465,WGST 101,
WGST 471,,
WGST 475,PHIL 275,WGST 101
WGST 476,,
WGST 477,,
WGST 479,,
WGST 480,,
WGST 482,,
WGST 486,,
WGST 500,,
WGST 503,,
WGST 517,,
WGST 524,COMM 224,
WGST 533,,
WGST 537,,
WGST 553,WGST 101,WGST 202
WGST 555,WGST 101,WGST 202
WGST 560,,
WGST 561,COMM 160,
WGST 562,,
WGST 568,,
WGST 573,PSYC 101,WGST 101
WGST 576,,
WGST 583,,
WGST 610,,
WGST 620,SPAN 371,SPAN 373
WGST 662,,
WGST 664,,
WGST 665,,
WGST 666,,
WGST 691H,WGST 101,WGST 202
WGST 692H,WGST 691H,
WGST 695,WGST 101,WGST 202
WGST 715,,
WGST 725,,
WGST 726,,
WGST 730,,
WGST 735,,
WGST 751,,
WGST 753,,
WGST 755,,
WGST 768,,
WGST 770,,
WGST 775,,
WGST 776,,
WGST 777,,
WGST 790,,
WGST 796,,
WGST 820,,
WGST 851,,
WGST 858,,
WGST 865,,
WGST 890,,
WGST 975,,
