Course Code,Prereq_1,Prereq_2,Prereq_3,Prereq_4,Prereq_5,Prereq_6,Prereq_7,Prereq_8,Prereq_9,Prereq_10,Prereq_11,Prereq_12,Prereq_13,Prereq_14,Prereq_15,Prereq_16,Prereq_17,Prereq_18,Prereq_19,Prereq_20,Prereq_21,Prereq_22,Prereq_23,Prereq_24,Prereq_25,Prereq_26,Prereq_27,Prereq_28,Prereq_29,Prereq_30,Prereq_31,Prereq_32,Prereq_33,Prereq_34,Prereq_35,Prereq_36,Prereq_37,Prereq_38,Prereq_39,Prereq_40
AAAD 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAAD 212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
